ID,Age,Score,HoursWorked,Salary
1,25,88,NaN,55000
2,30,92,38,60000
3,22,75,35,42000
4,28,81,42,51000
5,35,95,45,72000
6,29,67,30,48000
7,31,89,41,61000
8,26,72,33,45000
9,24,85,39,53000
10,27,90,44,58000
11,23,,36,41000
12,32,88,40,64000
13,29,abc,37,50000
14,30,91,42,61000
15,34,78,40,69000
16,21,70,32,39000
17,25,84,38,52000
18,28,87,41,56000
19,33,93,45,71000
20,26,76,34,47000
21,29,82,39,54000
22,31,90,43,60000
23,22,68,31,40000
24,27,,40,50000
25,35,96,46,73000
26,30,88,41,62000
27,24,73,35,46000
28,29,85,39,55000
29,32,90,44,63000
30,28,79,37,52000
31,26,81,36,51000
32,23,74,33,43000
33,31,89,42,61000
34,27,92,45,59000
35,34,95,47,74000
36,25,77,34,49000
37,29,83,38,53000
38,30,91,43,62000
39,22,69,31,41000
40,28,86,40,56000
41,26,80,36,50000
42,31,93,44,65000
43,33,97,48,76000
44,24,71,32,44000
45,27,84,39,52000
46,29,88,41,58000
47,30,90,42,61000
48,25,76,35,47000
49,28,82,38,54000
50,31,94,45,70000
