Date,Region,Product,Units Sold,Revenue,Profit,Customer Rating,Notes
2024-01-01,West,Laptop,15,15000,3000,4.5,Normal
2024-01-01,West,Laptop,15,15000,3000,4.5,Duplicate Row
2024-01-02,East,Tablet,twenty,8000,2000,4.2,Invalid units
2024-01-03,,Phone,30,12000,3500,4.7,Missing region
2024-01-04,South,Monitor,10,,800,3.9,Missing revenue
2024-01-05,West,Keyboard,50,2500,,4.1,Missing profit
2024-01-06,East,Mouse,60,1800,700,,Missing rating
,North,Laptop,12,14000,2800,4.6,Missing date
2024-01-08,South,Tablet,-5,7200,1900,4.3,Negative units
2024-01-09,West,Phone,25,10000,3200,6.5,Invalid rating
2024-01-10,East,Monitor,8,2400,600,3.8,<script>alert('x')</script>
2024-01-11,North,Keyboard,45,2200,850,4.2,Extra spaces    
2024-01-12,South,Mouse,55,1650,650,4.1,"Quoted, text"
2024-01-13,West,Phone,abc,NaN,NaN,?,Corrupt numbers
2024-01-14,East,Tablet,20,8000,2000,4.2,=SUM(A1:A2)
